,Actual,Prediction,Accuracy,ModelName,GridSearchParameters,GridSearchBestParameters,RunDate,RunTime
246,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
247,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
248,1,1,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
249,0,0,0,LinearDiscriminantAnalysis,{},{},2022-05-02,03:35:32
250,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
251,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
252,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
253,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
254,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
255,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
256,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
257,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
258,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
259,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
260,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
261,0,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
262,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
263,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
264,1,1,0,RidgeClassifier,{},{},2022-05-02,03:35:32
265,0,0,0,RidgeClassifier,{},{},2022-05-02,03:35:32
